timestamp, x, y, z, lx, ly, lz
1400373585443, 9.035717, 0.21787235, -2.373851, -0.16699557, -0.5895722, -0.49724576
1400373585463, 8.171411, 0.2669535, -2.183512, -0.22700025, -1.4507366, -0.29104513
1400373585483, 8.301894, 0.19153613, -2.1499932, -0.17253216, -1.3202527, -0.25677812
1400373585500, 8.301894, 0.19153613, -2.1499932, -0.17253216, -1.3202527, -0.25677812
1400373585519, 8.091205, 0.088585466, -2.1739352, -0.10055647, -1.5333365, -0.29299045
1400373585542, 7.5920134, -0.272939, -1.9596541, 0.1719336, -2.0404584, -0.1225532
1400373585557, 7.5920134, -0.272939, -1.9596541, 0.1719336, -2.0404584, -0.1225532
1400373585579, 6.8665705, -0.14963761, -1.4257472, 0.004040215, -2.7684453, 0.39459437
1400373585595, 5.5377884, -0.06823475, -1.091756, -0.11671733, -4.096928, 0.72678983
1400373585615, 4.701015, -0.089782566, -1.163582, -0.12150574, -4.9328036, 0.6570587
1400373585634, 4.7177744, 0.06464344, -1.2605472, -0.28341362, -4.91784, 0.54976857
1400373585653, 4.173094, 0.320823, -1.0749966, -0.5503671, -5.4640174, 0.725892
1400373585672, 3.2190042, -0.08379706, -1.009156, -0.19527708, -6.4146647, 0.8028058
1400373585692, 4.485537, -0.5638345, -1.0941502, 0.23074119, -5.146636, 0.71691376
1400373585710, 5.645528, -0.842759, -0.664391, 0.47300446, -3.991583, 1.1125556
1400373585730, 4.214992, -0.79846627, -0.4297592, 0.38067806, -5.426907, 1.3100772
1400373585749, 3.4117374, -0.5291186, -0.38187516, 0.07407062, -6.238242, 1.3028946
1400373585768, 5.057751, -0.50876784, -1.2533646, 0.046686932, -4.602703, 0.36870706
1400373585787, 7.526173, -0.15203181, -1.8171991, -0.272939, -2.145953, -0.25602993
1400373585807, 8.154651, -0.22266077, -1.2006922, -0.17283143, -1.5285481, 0.2983774
1400373585826, 7.3286514, -0.1448492, -0.12210429, -0.24181437, -2.3692122, 1.2816461
1400373585846, 7.65546, -0.14963761, -0.5386954, -0.23029228, -2.057517, 0.75866264
1400373585865, 8.550891, -0.25258827, -1.0295067, -0.11656769, -1.1733085, 0.18360534
1400373585885, 8.614338, -0.91697925, -0.842759, 0.5307646, -1.1155484, 0.31932664
1400373585905, 9.713276, -0.33039984, -0.5758055, -0.04938041, -0.021398177, 0.547524
1400373585925, 10.773908, -0.24540567, -0.08379706, -0.1225532, 1.0326492, 0.9850644
1400373585943, 9.920375, -0.8595184, 0.11731588, 0.47345337, 0.17447744, 1.1354501
1400373585962, 9.527725, -1.033098, -0.51235914, 0.6311714, -0.22026655, 0.47928926
1400373585981, 9.527725, -1.033098, -0.51235914, -0.27039516, 0.68219787, 0.21293432
1400373585999, 10.433931, -0.11133038, -0.7505822, -0.27039516, 0.68219787, 0.21293432
1400373586018, 10.727221, 0.18315643, -0.770933, -0.54168814, 0.9724948, 0.16983868
1400373586037, 10.9582615, -0.48003745, -0.5351041, 0.123451024, 1.2003928, 0.37394437
1400373586056, 11.645397, -0.91937345, -0.2908955, 0.54542905, 1.8836381, 0.5672762
1400373586076, 11.529279, -0.48602295, -0.34955344, 0.09756372, 1.7640778, 0.46297875
1400373586095, 11.839328, -0.010773907, -0.6979098, -0.37588966, 2.0712838, 0.080056116
1400373586114, 12.409147, -0.37708676, -0.62728083, -0.009726444, 2.638111, 0.11207857
